Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N13_id3_Mix1_Diam_3_p_3,13,3,9,3,6,XX_Mixer,3,0.958332712876878,23,10904,11.499992554522535,12,Intermediate_Sweep,Standard_Rxx,Tree,12,3,1,0,110011100110
N13_id3_Mix2_Diam_3_p_1,13,3,9,3,6,XX+YY_Mixer,1,0.8045582373759205,11,1536,9.654698848511046,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,1100110011001
N13_id3_Mix2_Diam_3_p_2,13,3,9,3,6,XX+YY_Mixer,2,0.9166666271221724,20,2961,10.99999952546607,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,110011100110
N13_id3_Mix2_Diam_3_p_3,13,3,9,3,6,XX+YY_Mixer,3,0.9999993074936316,29,12878,11.99999168992358,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,3,2,0,110011100110
N13_id3_Mix1_Diam_2_p_1,13,3,9,2,18,XX_Mixer,1,0.7981124901732063,13,1804,9.577349882078476,12,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,110011100110
N13_id3_Mix1_Diam_2_p_2,13,3,9,2,18,XX_Mixer,2,0.9166665911475916,24,5742,10.999999093771098,12,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,1001100011001
N13_id3_Mix1_Diam_2_p_3,13,3,9,2,18,XX_Mixer,3,0.9583323771505596,35,10140,11.499988525806716,12,Intermediate_Sweep,Standard_Rxx,Tree,12,2,1,0,1001100011001
N13_id3_Mix2_Diam_2_p_1,13,3,9,2,18,XX+YY_Mixer,1,0.80455763482241,19,3828,9.65469161786892,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,1100110011001
N13_id3_Mix2_Diam_2_p_2,13,3,9,2,18,XX+YY_Mixer,2,0.9583329878875338,36,8613,11.499995854650406,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,1001100011001
N13_id3_Mix2_Diam_2_p_3,13,3,9,2,18,XX+YY_Mixer,3,0.999999081883859,53,14040,11.999988982606308,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,2,2,0,110011100110
N13_id3_Mix1_Diam_1_p_1,13,3,9,1,66,XX_Mixer,1,0.9166665586564898,27,10764,10.999998703877878,11,Hypo_1,Standard_Rxx,Tree,12,1,1,0,110111100001
N13_id3_Mix1_Diam_1_p_2,13,3,9,1,66,XX_Mixer,2,0.9583258329856088,51,15006,11.499909995827306,11,Hypo_1,Standard_Rxx,Tree,12,1,1,0,1001000101110
N13_id3_Mix1_Diam_1_p_3,13,3,9,1,66,XX_Mixer,3,0.9480598259188544,75,15070,11.376717911026256,12,Hypo_1,Standard_Rxx,Tree,12,1,1,0,110011100110
N13_id3_Mix2_Diam_1_p_1,13,3,9,1,66,XX+YY_Mixer,1,0.9166661703666196,47,7544,10.999994044399436,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,110011100110
N13_id3_Mix2_Diam_1_p_2,13,3,9,1,66,XX+YY_Mixer,2,0.9999457900913068,91,15006,11.99934948109568,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,1001100011001
N13_id3_Mix2_Diam_1_p_3,13,3,9,1,66,XX+YY_Mixer,3,0.99251962762957,135,15070,11.91023553155484,12,Hypo_1,XX+YY_Driver,Tree,12,1,2,0,1001100011001
N16_id0_Mix1_Diam_9_p_1,16,0,9,9,0,Standard_QAOA,1,0.8666666648768708,8,1504,12.999999973153065,15,Standard_QAOA,Standard_Rxx,Tree,15,9,1,0,1000111100111011
N16_id0_Mix1_Diam_9_p_2,16,0,9,9,0,Standard_QAOA,2,0.9051565792469212,13,3843,13.577348688703818,15,Standard_QAOA,Standard_Rxx,Tree,15,9,1,0,1000111100111011
N16_id0_Mix1_Diam_9_p_3,16,0,9,9,0,Standard_QAOA,3,0.9666663721244316,18,14382,14.499995581866475,15,Standard_QAOA,Standard_Rxx,Tree,15,9,1,0,111000011000100
N16_id0_Mix1_Diam_7_p_1,16,0,9,7,1,XX_Mixer,1,0.8666666548522647,8,1980,12.99999982278397,15,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,111000011000100
N16_id0_Mix1_Diam_7_p_2,16,0,9,7,1,XX_Mixer,2,0.9333333115425804,13,6695,13.999999673138705,15,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,111000011000100
N16_id0_Mix1_Diam_7_p_3,16,0,9,7,1,XX_Mixer,3,0.9666658324270764,18,13580,14.499987486406145,15,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,1000111100111011
