Graph_Type,Base_Diameter,Achieved_Reduced_Diameter,QAOA_Layers_p,Formal_Strategy,Mean_AR,Max_AR,Min_AR,Std_AR,Unique_N_Tested,Total_Graphs_Tested,Baseline_Mean_AR,Absolute_AR_Lift,Improvement_Percentage
Bipartite,6,3,1,XX_Mixer,0.8040323634133747,0.8571428498162446,0.7608694310763923,0.0488576583555527,3,5,0.8040323903783533,-2.696497858334368e-08,-3.353717947936746e-06
Bipartite,6,3,1,XX+YY_Mixer,0.7996845570198694,0.8571428503082185,0.7391303855543896,0.05432079112920062,3,5,0.8040323903783533,-0.004347833358483877,-0.5407535082557954
Bipartite,6,2,1,XX_Mixer,0.7996845608276468,0.8571428449952003,0.7391304189907807,0.054320778817191474,3,5,0.8040323903783533,-0.00434782955070645,-0.5407530346707169
Bipartite,6,2,1,XX+YY_Mixer,0.8105540872540449,0.8571428446504016,0.7672288826623712,0.04354300337357381,3,5,0.8040323903783533,0.006521696875691596,0.8111236504567538
Bipartite,6,1,1,XX_Mixer,0.852445040464952,0.9999999260188952,0.7608695002770398,0.10655300530014264,3,5,0.8040323903783533,0.048412650086598674,6.021231316790254
Bipartite,6,1,1,XX+YY_Mixer,0.9671147530831423,0.999999964590256,0.928571323913083,0.03435068625488208,3,5,0.8040323903783533,0.16308236270478904,20.283058824041582
Bipartite,6,6,2,Standard_QAOA,0.9116775868086961,0.928571425280162,0.8888888268293874,0.019956863616128497,3,5,0.9116775868086961,0.0,0.0
Bipartite,6,5,2,XX_Mixer,0.8900961695955146,0.8913039745695562,0.888888364621473,0.0017080941749913205,2,2,0.9116775868086961,-0.02158141721318152,-2.3672203337505215
Bipartite,6,5,2,XX+YY_Mixer,0.8900960434700789,0.8913038866038225,0.8888882003363351,0.0017081481409595561,2,2,0.9116775868086961,-0.02158154333861728,-2.3672341681847104
Bipartite,6,4,2,XX_Mixer,0.9069812630034194,0.928571416426054,0.8654079555254186,0.027858398969305555,3,5,0.9116775868086961,-0.004696323805276736,-0.5151298960541628
Bipartite,6,4,2,XX+YY_Mixer,0.9116772997139195,0.9285714201025728,0.8888884118143713,0.019957112628974347,3,5,0.9116775868086961,-2.8709477661870153e-07,-3.1490823156426314e-05
Bipartite,6,3,2,XX_Mixer,0.9116775809898225,0.9285714137659205,0.8888887087887191,0.019956921943060046,3,5,0.9116775868086961,-5.818873605178965e-09,-6.382600262827323e-07
Bipartite,6,3,2,XX+YY_Mixer,0.9510331222293431,0.9999998427982464,0.9285714089031576,0.028386648219811846,3,5,0.9116775868086961,0.03935553542064696,4.316826034783853
Bipartite,6,2,2,XX_Mixer,0.9064144229574318,0.9285714179818252,0.8888886671235662,0.02033292618804826,3,5,0.9116775868086961,-0.005263163851264352,-0.5773053903505427
Bipartite,6,2,2,XX+YY_Mixer,0.9851255329392196,0.9999999485569924,0.9473681932940782,0.02311104355436338,3,5,0.9116775868086961,0.07344794613052341,8.05635097245574
Bipartite,6,1,2,XX_Mixer,0.9436335330679292,0.9999998766607078,0.8888850959360912,0.05437283089392154,3,5,0.9116775868086961,0.03195594625923304,3.505180638595493
Bipartite,6,1,2,XX+YY_Mixer,0.9989309848389946,0.9999996482887956,0.9947700765286662,0.0023261920786189303,3,5,0.9116775868086961,0.08725339803029841,9.570642000285066
Bipartite,6,6,3,Standard_QAOA,0.9597280439185223,0.9999985126295536,0.9285713903579016,0.02881973858685591,3,5,0.9597280439185223,0.0,0.0
Bipartite,6,5,3,XX_Mixer,0.9722215292958654,0.9999988534108856,0.9444442051808452,0.03928306848989481,2,2,0.9597280439185223,0.012493485377343072,1.3017735030783082
Bipartite,6,5,3,XX+YY_Mixer,0.9722214820422441,0.9999987870562732,0.944444177028215,0.039283041477014106,2,2,0.9597280439185223,0.012493438123721834,1.3017685794312879
Bipartite,6,4,3,XX_Mixer,0.9640759394339208,0.9999998054045748,0.9285711238817214,0.03356406037094221,3,5,0.9597280439185223,0.004347895515398492,0.4530341217962381
Bipartite,6,4,3,XX+YY_Mixer,0.9851245908693487,0.999999051019621,0.9473665957939,0.02311044815783732,3,5,0.9597280439185223,0.025396546950826382,2.646223282913932
Bipartite,6,3,3,XX_Mixer,0.9783611735816118,0.9999999279107842,0.9444437818625172,0.02964562753220446,3,5,0.9597280439185223,0.018633129663089498,1.9415010097038894
Bipartite,6,3,3,XX+YY_Mixer,0.9985292327181309,0.9999999409104688,0.9926523828790724,0.003285259460341964,3,5,0.9597280439185223,0.03880118879960859,4.042935813481624
Bipartite,6,2,3,XX_Mixer,0.9640587535133704,0.9999999335550634,0.9285711819281248,0.03354044026331883,3,5,0.9597280439185223,0.004330709594848159,0.4512434144537535
Bipartite,6,2,3,XX+YY_Mixer,0.9999379724936585,0.9999995688968832,0.9997003451401716,0.0001328548985273079,3,5,0.9597280439185223,0.04020992857513617,4.189721122554783
